Data,BREW11,BCIC11,BDEF11,BMMT11,BBOI11,AGRI11,BBOV11,CORN11,BBSD11,FIXA11,IMBB11,B5MB11,BIEU39,CMDB11,DEBB11,SPXB11,SMAB11,XBOV11,CRPT11,DEFI11,BOVB11,GENB11,ESGB11,BITI11,GURU11,ELAS11,QDFI11,BOTZ39,BLBT39,BURA39,BITH11,ETHE11,HASH11,ALUG11,BDOM11,BLOK11,BNDX11,BTEK11,BXPO11,CHIP11,FOOD11,JOGO11,LFTS11,NFTS11,NTNS11,PEVC11,SCVB11,SVAL11,USDB11,USTK11,WRLD11,BTLT39,BIYT39,BOVA11,BIEM39,BIVB39,BIJR39,BITO39,BAER39,BIXN39,BIAU39,BHYG39,BLQD39,BRAX11,ECOO11,BACW39,BAAX39,BCHI39,BNDA39,BEWJ39,BIWM39,IVVB11,BIVE39,BDVY39,BSOX39,BSHV39,BSLV39,SMAL11,BGOV39,BIYE39,B5P211,DNAI11,REVE11,HTEK11,YDRO11,IB5M11,BOVV11,DIVO11,FIND11,GOVE11,IMAB11,MATB11,IRFM11,ISUS11,MILL11,SHOT11,SMAC11,SPXI11,TECK11,META11,NSDV11,NDIV11,IBOB11,PIBB11,QBTC11,QETH11,BOVS11,WEB311,ACWI11,XINA11,ESGD11,ESGE11,ESGU11,EURP11,BOVX11,XFIX11,NASD11,GOLD11,URET11,USAL11,UTEC11,TRIG11
2023-09-12,113.63,114.8,112.03,103.86,7.37,48.67,61.2,5.69,101.15,15.28,125.05,115.95,41.569152969,12.15,11.71,9.61,8.09,115.71,5.75,15.28,119.35,8.69,101.73,37.62,10.0,117.21,2.34,32.188526477,35.787120548,39.139837755,30.22,23.1,21.16,32.42,103.44,62.61,88.76,59.06,107.43,74.73,84.63,66.25,111.04,6.84,51.35,114.37,95.6,98.25,87.22,9.63,84.26,30.165362081,45.339576578,114.22,39.493036181,55.063911297,59.771972848,48.21795766,27.039629715,9.876386897,44.83,44.472536289,50.253068243,98.04,98.88,46.920255206,31.816009677,26.952973083,55.92,38.019188623,45.247140948,245.35,52.513703397,54.444546299,20.163054598,52.749238475,35.25,106.85,36.235086978,79.12668689,84.04,30.27,49.7,46.99,38.13,110.09,119.75,81.03,112.58,51.63,95.2,55.0,77.8,34.14,48.44,14.78,56.16,238.28,50.72,20.04,,,95.81,204.38,7.99,5.66,90.79,11.05,9.76,5.5,8.16,6.83,8.3,9.59,11.9,11.45,10.55,10.01,8.3,9.28,12.62,42.23
2023-09-13,113.95,115.13,112.43,104.09,7.29,49.41,61.32,5.7,101.4,,125.1,116.0,40.948129342,12.07,11.69,9.56,8.12,115.92,5.75,15.16,119.56,8.59,101.94,37.36,10.01,117.61,2.33,31.469229796,35.191991049,39.5398069,30.16,23.01,21.06,31.81,103.59,62.04,88.0,57.98,107.55,74.28,83.61,65.31,111.08,7.19,51.76,113.8,95.89,96.89,86.79,9.57,83.49,30.087415409,44.899386514,114.46,,55.430212038,58.989280016,47.87142203,26.850819364,9.8464886521,44.5,44.222798504,50.049142749,98.53,99.55,46.51457607,31.521143971,26.630475581,55.41,37.733330062,44.989604682,243.1,52.217462122,53.948091469,20.129902584,52.440028797,34.35,107.0,36.078225129,77.704074416,84.06,29.65,49.27,45.7,37.48,110.1,119.91,80.93,113.9,51.73,95.48,54.58,77.98,34.29,48.43,14.82,56.36,236.73,50.59,20.02,,,96.77,204.75,8.0,5.63,90.97,10.75,9.71,5.41,8.07,6.78,8.26,9.48,11.92,11.43,10.51,9.93,8.17,9.25,12.56,42.19
2023-09-14,114.23,115.58,112.32,104.32,7.3,49.27,61.74,5.52,101.16,15.3,125.25,116.15,41.224139843,12.32,11.71,9.56,8.09,117.08,5.75,15.61,120.79,8.51,102.08,37.42,10.08,118.45,2.35,31.529171186,35.162234574,40.911129683,30.25,23.24,21.22,32.12,103.84,61.93,87.56,57.23,108.03,74.4,83.78,65.3,111.13,7.07,51.37,113.02,95.62,98.01,85.8,9.54,83.59,29.951008733,44.586362469,115.59,39.268032506,54.549110257,59.365765176,47.841718976,,9.8564547337,44.12,43.934639522,49.55389512,99.45,99.62,46.554154523,31.550630542,26.562067019,55.29,38.019188623,44.732068415,243.5,52.335958632,54.201186088,19.94756651,52.043853897,33.64,106.55,35.686070508,78.243686044,84.1,29.85,49.46,46.23,38.46,110.0,121.15,81.76,113.7,52.25,95.6,55.88,77.94,34.33,47.99,14.82,56.12,236.82,50.25,20.49,,,97.31,207.05,8.03,5.69,91.88,11.12,9.71,5.39,8.1,6.77,8.25,9.51,12.05,11.42,10.52,9.85,8.25,9.23,12.53,41.91
2023-09-15,113.65,114.87,111.95,104.38,7.4,48.92,61.4,5.52,101.26,15.37,124.95,115.7,41.086134593,12.35,11.72,9.42,7.98,116.46,5.75,15.56,120.09,8.36,101.35,37.49,9.99,117.83,2.34,,35.142396924,41.444421876,29.9,22.75,21.0,32.07,103.22,61.93,87.24,56.33,107.62,73.52,83.35,64.23,111.18,7.35,51.4,113.67,94.62,97.25,85.6,9.36,82.91,29.493072035,44.312466429,114.92,38.984332222,54.004609156,58.701962395,47.316965022,,9.6571331011,44.44,43.752138833,49.398523314,98.97,,46.227632291,31.354053405,26.298205427,55.03,37.822044788,44.127848713,240.75,51.921220847,54.016232328,19.400558288,52.005202687,34.41,106.0,35.607639584,77.135029427,84.1,30.01,48.94,45.83,38.08,109.98,120.58,81.94,,52.0,95.45,56.11,77.85,34.09,47.28,14.82,55.54,233.86,49.14,20.06,,,96.67,205.41,8.0,5.58,91.43,10.93,9.62,5.35,8.08,6.73,8.14,9.51,11.97,11.46,10.33,9.9,8.21,9.11,12.3,41.2
2023-09-18,112.98,114.18,111.34,103.78,7.4,49.06,61.37,5.65,100.94,15.33,124.75,114.85,40.612973734,12.26,11.72,9.41,7.98,116.0,5.77,15.9,119.68,8.31,101.09,37.4,9.95,117.5,2.35,30.929757285,34.59686155,41.13968348,30.26,23.27,21.16,31.62,102.57,63.06,86.86,55.28,107.35,73.19,82.63,63.62,111.25,7.1,51.39,113.92,94.05,96.18,85.45,9.38,82.2,29.512558703,44.1168264,114.65,38.818025158,53.806608756,58.454274789,47.039736518,26.652071626,9.6172687746,44.46,43.608059342,49.33054815,98.4,99.0,45.90111006,31.137818554,26.092979743,54.81,37.72347287,44.018891062,239.9,51.585480735,53.675528033,19.413819093,51.860260651,34.41,105.45,35.450777736,77.213518391,84.08,28.86,48.45,45.14,38.73,109.66,120.11,81.45,113.01,51.76,95.29,55.49,77.95,34.06,47.14,14.4,55.33,233.25,48.96,20.21,,,96.1,205.06,8.07,5.52,91.08,10.95,9.59,5.32,8.01,6.69,8.11,9.38,11.93,11.53,10.29,9.91,8.09,9.09,12.29,41.1
2023-09-19,112.18,113.25,110.78,103.49,7.43,48.91,60.94,5.56,100.79,15.33,124.7,115.3,40.810124091,12.26,11.73,9.57,7.89,115.57,5.89,16.06,119.24,8.32,100.41,38.18,9.87,117.09,2.55,31.01966937,34.5770239,40.949221983,31.0,23.18,21.49,31.5,101.46,63.68,86.97,55.48,107.3,73.15,82.6,63.68,111.29,7.1,51.37,113.71,93.51,96.44,85.66,9.39,83.48,29.424868697,44.302684427,114.1,38.798459621,53.866008876,58.246217201,46.83181514,26.552697757,9.6272348562,44.52,43.656085839,49.28199446,98.23,98.01,46.089107708,31.11816084,26.190706259,54.84,38.05861739,43.870312447,239.8,51.595355444,53.646324808,19.4303951,52.034191095,34.5,104.43,35.480189332,76.634662281,84.03,28.88,48.6,45.36,38.62,109.49,119.5,81.38,111.47,51.52,95.05,55.43,77.8,33.85,47.11,14.64,54.74,233.5,49.02,20.21,,,95.9,204.45,8.19,5.61,90.74,11.99,9.6,5.33,8.05,6.67,8.12,9.43,11.89,11.47,10.31,9.93,8.09,9.1,12.32,40.85
2023-09-20,112.88,113.94,111.5,104.43,7.38,49.25,61.4,5.62,101.32,15.25,124.9,115.1,40.938271824,12.36,11.75,9.37,8.0,116.4,5.82,16.0,120.1,8.27,101.16,37.88,10.04,117.93,2.52,30.989698675,34.071163826,41.063498881,30.6,22.77,21.18,31.59,101.94,62.63,87.23,54.39,107.66,72.66,82.7,62.99,111.33,7.25,51.38,113.74,93.59,96.5,85.61,9.29,82.19,29.639222045,44.263556422,115.03,38.749545779,53.519508176,58.464182294,46.88132023,,9.6172687746,44.76,43.656085839,49.466498479,99.28,99.57,45.960477738,31.010043414,26.044116485,54.85,37.693901295,43.741544314,238.33,51.437360097,53.792340934,19.214907012,52.0535167,34.81,104.7,35.568424122,76.183350737,83.95,28.57,48.57,45.03,37.76,109.69,120.37,82.05,113.01,51.9,95.1,56.47,77.83,34.15,46.67,13.83,55.21,231.55,48.0,19.38,,,96.53,205.95,8.18,5.69,91.4,11.1,9.55,5.28,8.05,6.67,8.07,9.45,11.98,11.5,10.18,9.98,8.13,9.03,12.18,41.0
2023-09-21,110.65,111.19,110.2,102.84,7.42,48.46,60.07,5.6,99.03,15.33,124.75,115.4,40.928414306,12.24,11.76,9.33,7.77,113.93,5.79,15.95,117.4,8.16,99.13,37.95,9.81,115.69,2.4,30.300372689,33.505790802,40.834945084,30.57,22.73,21.21,30.91,99.85,63.0,88.15,54.4,105.9,71.88,82.12,61.8,111.41,7.01,51.38,112.41,91.39,95.56,85.98,9.24,81.75,29.171542013,44.420068444,112.6,38.436497189,53.331407795,57.790472008,46.742705978,26.314200472,9.5275740399,44.96,43.886613025,49.476209217,96.81,96.93,45.693323185,30.734835422,25.760709589,54.9,37.595329377,43.266092745,236.55,51.141118822,53.87995061,18.9397453,52.671936055,35.23,102.15,35.764501433,75.938072725,83.9,28.51,48.26,44.88,37.2,109.4,117.86,80.95,109.85,50.81,95.13,55.8,77.76,33.71,46.5,13.65,53.78,230.55,47.48,19.99,,,94.59,201.58,8.05,5.5,89.47,11.06,9.5,5.23,8.0,6.61,8.01,9.44,11.71,11.48,10.1,9.97,7.93,8.98,12.09,40.0
2023-09-22,109.99,110.38,109.74,102.36,7.4,48.08,60.01,5.72,99.08,15.23,124.7,114.8,40.839696645,12.23,11.77,9.33,7.69,113.8,5.72,15.13,117.33,8.09,99.12,37.71,9.83,115.33,2.29,30.300372689,33.525628451,42.844313884,30.37,22.5,21.25,30.66,99.28,62.5,88.15,53.74,105.43,72.21,81.69,62.67,111.43,7.07,51.36,112.24,90.64,94.98,86.24,9.24,81.65,29.912035397,44.488542454,112.61,38.729980242,53.242307615,57.800379512,46.445675438,26.035953639,9.4877097134,44.98,43.838586528,49.816085041,96.9,96.4,45.564693215,31.167305124,26.591384974,54.88,37.575614994,43.404766119,236.52,51.071995858,53.724200075,19.175124596,52.671936055,35.52,101.35,35.803716895,76.291273063,84.03,28.28,47.84,44.71,37.07,109.5,117.92,80.66,109.43,50.69,94.95,55.59,77.89,33.25,46.48,13.51,53.57,229.82,47.42,19.74,,,94.84,201.45,8.06,5.59,89.36,11.02,9.48,5.4,8.01,6.7,8.0,9.38,11.71,11.5,10.09,10.02,7.89,8.96,12.12,39.7
2023-09-25,109.76,110.16,109.5,102.47,7.49,47.82,59.97,5.83,98.07,15.31,114.5,124.15,40.77069402,12.07,11.76,9.37,7.6,113.74,5.75,15.45,117.3,8.25,98.36,37.89,9.71,115.3,2.42,30.240431299,33.833112026,44.33943664,30.4,23.07,21.38,31.0,99.28,62.5,88.38,53.39,105.49,72.98,81.93,63.62,111.52,7.28,51.31,114.36,89.84,95.89,86.16,9.34,82.4,28.85001199,44.586362469,112.57,39.003897759,49.519900092,58.424552277,46.653596816,26.493073436,9.6272348562,45.16,44.222798504,49.670423974,96.41,,45.831847768,31.226278265,26.327523381,55.13,37.733330062,43.692018109,239.2,,53.870216202,19.238113422,53.097099362,35.19,101.1,35.921363281,77.360685198,83.96,28.43,48.4,45.09,38.0,108.8,117.88,80.65,109.34,50.58,94.93,55.26,77.79,33.27,46.98,13.55,52.99,232.4,48.08,19.74,,,94.26,201.94,8.11,5.53,89.31,10.72,9.56,5.36,8.02,6.71,8.08,9.41,11.7,11.41,10.22,10.04,7.92,9.04,12.25,38.95
