Data,ABGD39,SIVR39,BREW11,BCIC11,BDEF11,BMMT11,BBOI11,BDAP11,DOLA11,DVER11,AGRI11,BBOV11,CORN11,BBSD11,FIXA11,IMBB11,B5MB11,BICV39,BGWH39,BIEU39,BIPC39,BIUS39,BHEZ39,BHEW39,BXTC39,BGRT39,BIAG39,BCRB39,BCNY39,BEMV39,BTFL39,BFLO39,CMDB11,DEBB11,SPXB11,SMAB11,XBOV11,CRPT11,DEFI11,BOVB11,GENB11,SPYI11,ESGB11,BITI11,GURU11,ELAS11,QDFI11,BFTS39,BKYY39,BFDN39,BFXH39,BFPI39,BFCG39,BFTC39,BFDL39,BQCL39,BCIR39,BFDA39,BQQW39,BQTC39,BFBI39,BFTA39,BFPX39,BFVD39,QQQI11,TBIL39,BDRI39,BKCH39,BPOT39,BHIX39,BCTE39,BCLO39,BCPX39,BBUG39,BFNX39,BSNS39,BOTZ39,BGNO39,BLBT39,BMIL39,BLPA39,BLPX39,BCHQ39,BQYL39,BCAT39,BSIL39,BSOC39,BSDV39,BSRE39,BDVD39,BEDC39,BPVE39,BPFR39,BURA39,BPFV39,BHER39,BITH11,ETHE11,HASH11,BIYJ39,ALUG11,BDOM11,BLOK11,BNDX11,BTEK11,BXPO11,CHIP11,FOOD11,JOGO11,LFTS11,NFTS11,NTNS11,PEVC11,SCVB11,SVAL11,USBD11,USDB11,USTK11,WRLD11,BSGO39,BHYC39,BTLH39,BSHY39,BIGS39,BTLT39,BGOZ39,BIEI39,BIYT39,BQLT39,BSTI39,IBIT39,BOVA11,BFXI39,BAOA39,BAOK39,BAOR39,BHDV39,BAOM39,BIEF39,BIEM39,BIXU39,BIVB39,BIJH39,BIJR39,BITO39,BAGG39,BUSR39,BHEF39,BIHA39,BAER39,BIHF39,BFAV39,BUSM39,BMTU39,BQUA39,BSIZ39,BVLU39,BDVE39,BSUS39,BEAG39,ETHA39,BIEV39,BIET39,BFAL39,BIDN39,BGLC39,BICL39,BKXI39,BIXC39,BIXG39,BIXJ39,BIGF39,BIXN39,BIAU39,BCOM39,BHYG39,BLQD39,BRAX11,ECOO11,CSMO11,MOBI11,BIDV39,BIGO39,BIGL39,BMBB39,MILA11,BMRE39,BACW39,BAAX39,BEWA39,BEWZ39,BEWC39,BECH39,BCHI39,BEGD39,BEFG39,BEFA39,BSCZ39,BEFV39,BEGE39,BEMC39,BEEM39,BEZU39,BEUF39,BEWQ39,BEWG39,BVEG39,BCWV39,BPIC39,BSDG39,BEWH39,BNDA39,BEWJ39,BEWW39,BEPP39,BERU39,BKSA39,BEWY39,BEWP39,BEWL39,BEWT39,BEWU39,BEUW39,BEGU39,BUSA39,BURT39,BIBB39,BIGE39,BREZ39,BARY39,BIWF39,BIWM39,BOEF39,IVVB11,BIVW39,BIVE39,BILF39,BIJS39,BDVY39,BIDR39,BSOX39,BSHV39,BSLV39,SMAL11,BTIP39,BSUC39,BIYC39,BIYK39,BIFR39,BGOV39,BIYM39,BIYE39,BIYG39,BIYF39,BITB39,BIHI39,BIEO39,BIHE39,BIAT39,BIYW39,BIYP39,BUTL39,UTIP11,B5P211,DIVD11,DNAI11,REVE11,HTEK11,YDRO11,IB5M11,BOVV11,DIVO11,FIND11,GOVE11,IMAB11,MATB11,IRFM11,ISUS11,MILL11,SHOT11,SMAC11,SPXI11,TECK11,BBCN39,BBAJ39,BBER39,BBIL39,BBJP39,BBMR39,BBUS39,BMCE39,BPEM39,BJPI39,BPUS39,BPME39,BDRE39,BMOM39,BJQU39,BVLF39,BKBA39,BKWB39,META11,NSDV11,NDIV11,HIGH11,LVOL11,IBOB11,PIBB11,BHYS39,BSTP39,BLTP39,BZRO39,BIPZ39,BCRP39,BMFE39,QBTC11,QSOL11,QETH11,BOVS11,WEB311,TECB11,ACWI11,ASIA11,XINA11,EMEG11,ESGD11,ESGE11,ESGU11,EURP11,BOVX11,XFIX11,NASD11,GOLD11,XMAL11,URET11,USAL11,UTEC11,TRIG11,HYEM39,ANGV39,GDXB39,EMLC39,MOTB39,BUZZ39,SLXB39,PFXF39,BUSF39,BWCL39,BAGY39,BCHA39,BEME39,BEUR39,BJAP39,BEUA39,BLUZ39,BWOR39,BUFF39,BTWO39,BEQW39
2023-09-13,,35.72,113.95,115.13,112.43,104.09,7.29,,,,49.41,61.32,5.7,101.4,,125.1,116.0,,49.93523731,40.948129342,,,,,,35.970695004,,,45.092583652,43.552070375,,,12.07,11.69,9.56,8.12,115.92,5.75,15.16,119.56,8.59,,101.94,37.36,10.01,117.61,2.33,,,27.9,,,64.799561282,,41.41502155,,45.863203314,46.098310527,,,,,,,,,,,20.111663519,,,,,,20.773011183,,31.469229796,27.12,35.191991049,,,,22.934749715,26.328993097,,,,51.16516233,98.651973812,,,,44.60134421,39.5398069,,23.695016697,30.16,23.01,21.06,,31.81,103.59,62.04,88.0,57.98,107.55,74.28,83.61,65.31,111.08,7.19,51.76,113.8,95.89,96.89,,86.79,9.57,83.49,,,,48.686721221,,30.087415409,,,44.899386514,,,,114.46,,,,,49.600667737,,39.866334053,,,55.430212038,12.46751232,58.989280016,47.87142203,,,,,26.850819364,,40.366069447,,,,39.60812585,45.544456863,,,,,,,,,,37.969701295,,49.942387974,,,,9.8464886521,44.5,,44.222798504,50.049142749,98.53,99.55,,,41.818554606,,,,,,46.51457607,31.521143971,,,41.899853873,,26.630475581,,,42.641470439,,39.768680362,,,31.411982179,52.701052743,,44.636239857,44.085844351,,,,,28.152100749,55.41,37.733330062,72.740794347,,,,37.476356727,45.073215901,43.923433979,,,,47.779864424,,,41.734561295,51.818122511,,76.11265847,54.496825965,44.989604682,51.372065209,243.1,43.490679489,52.217462122,41.442509893,56.0990829,53.948091469,,20.129902584,52.440028797,34.35,107.0,50.68639181,,69.457708686,,,36.078225129,52.896066819,77.704074416,13.183298625,25.210288984,68.079675764,7.1212218528,48.76926072,,,15.229417368,,,,84.06,,29.65,49.27,45.7,37.48,110.1,119.91,80.93,113.9,51.73,95.48,54.58,77.98,34.29,48.43,14.82,56.36,236.73,50.59,,,,,,,,,,,,,,,,,,,20.02,,,,,96.77,204.75,42.739779047,48.705545958,,32.011659936,,,,8.0,,5.63,90.97,10.75,17.73,9.71,,5.41,,8.07,6.78,8.26,9.48,11.92,11.43,10.51,9.93,,8.17,9.25,12.56,42.19,,,46.671814856,,,,,,,,,,,,,,,,,,
2023-09-14,,,114.23,115.58,112.32,104.32,7.3,,,,49.27,61.74,5.52,101.16,15.3,125.25,116.15,,50.033535021,41.224139843,,,,,44.297787252,36.400312425,,,,43.434573782,,,12.32,11.71,9.56,8.09,117.08,5.75,15.61,120.79,8.51,,102.08,37.42,10.08,118.45,2.35,,,,,,64.201833589,49.304056693,,,,,,,,,,,,,,,20.033102334,,,,,,,,31.529171186,,35.162234574,,,,,26.099646467,,24.936805882,,51.16516233,,,,,,40.911129683,,,30.25,23.24,21.22,,32.12,103.84,61.93,87.56,57.23,108.03,74.4,83.78,65.3,111.13,7.07,51.37,113.02,95.62,98.01,,85.8,9.54,83.59,,,,48.306127489,,29.951008733,,45.881352711,44.586362469,,,,115.59,,52.686962708,41.540826771,,,,40.102345897,39.268032506,,54.549110257,12.46751232,59.365765176,47.841718976,,40.858989269,,,,,,,,44.529458641,,,,,,,47.604290301,,,,,,,,,,54.418497215,9.8564547337,44.12,,43.934639522,49.55389512,99.45,99.62,,,,,,,,,46.554154523,31.550630542,35.367705719,,,,26.562067019,,,,,40.022980827,,,,,,,43.917009173,,,,,,55.29,38.019188623,72.386776692,,,,,,43.963076068,33.864390885,51.50277339,,47.799677761,,,,,,,54.407225776,44.732068415,,243.5,43.371390768,52.335958632,41.557627976,,54.201186088,,19.94756651,52.043853897,33.64,106.55,,,,,,35.686070508,,78.243686044,,25.170743433,67.114218374,7.0714230986,,,,,,,,84.1,,29.85,49.46,46.23,38.46,110.0,121.15,81.76,113.7,52.25,95.6,55.88,77.94,34.33,47.99,14.82,56.12,236.82,50.25,,,,,,,,,,,,,,,,,,,20.49,,,,,97.31,207.05,42.397099305,,,31.28080012,,,,8.03,,5.69,91.88,11.12,17.55,9.71,,5.39,,8.1,6.77,8.25,9.51,12.05,11.42,10.52,9.85,,8.25,9.23,12.53,41.91,,,,,,,,,,,,,,,,,,,,,
2023-09-15,44.7,35.8,113.65,114.87,111.95,104.38,7.4,,,,48.92,61.4,5.52,101.26,15.37,124.95,115.7,,50.141662504,41.086134593,,,,42.293638993,,36.078099359,,,44.416677687,43.082084004,,,12.35,11.72,9.42,7.98,116.46,5.75,15.56,120.09,8.36,,101.35,37.49,9.99,117.83,2.34,,,27.06,,,63.163159236,,,,,,,,,,,,,,,58.67128985,20.190224705,,,,,,20.654421205,,,26.81,35.142396924,,,,,25.686822534,,25.65098648,,,,,,,44.467348755,41.444421876,,,29.9,22.75,21.0,,32.07,103.22,61.93,87.24,56.33,107.62,73.52,83.35,64.23,111.18,7.35,51.4,113.67,94.62,97.25,,85.6,9.36,82.91,,,,48.218298166,,29.493072035,,45.332462356,44.312466429,,46.252794731,,114.92,,52.588666136,,,,,40.102345897,38.984332222,,54.004609156,,58.701962395,47.316965022,,,,,,,40.366069447,,,43.924492721,,,,,,,,,,,,37.771477848,56.81831288,49.971765849,,51.250544568,54.682854795,9.6571331011,44.44,,43.752138833,49.398523314,98.97,,,,42.242131126,,,,,,46.227632291,31.354053405,35.357951802,50.092164112,,,26.298205427,,,,,40.022980827,,,,,,,,,46.814991894,,,27.724375461,55.03,37.822044788,71.629572262,48.381581085,,47.547101149,37.938420936,44.974910087,,33.340621639,51.60998961,,47.14583761,,,41.20564409,51.366933104,,75.079814462,53.690424265,44.127848713,50.588591627,240.75,42.884295158,51.921220847,41.557627976,55.782362601,54.016232328,,19.400558288,52.005202687,34.41,106.0,,,68.62170818,17.417189327,,35.607639584,52.718364466,77.135029427,,,65.621243028,,47.974909198,,,15.010002055,,,,84.1,,30.01,48.94,45.83,38.08,109.98,120.58,81.94,,52.0,95.45,56.11,77.85,34.09,47.28,14.82,55.54,233.86,49.14,,,,,,,,,,,,,,,,,,,20.06,,,,,96.67,205.41,,,,31.134628157,,,44.571730252,8.0,,5.58,91.43,10.93,17.49,9.62,,5.35,,8.08,6.73,8.14,9.51,11.97,11.46,10.33,9.9,,8.21,9.11,12.3,41.2,,,47.77928165,,,,,,,,,,,,,,,,,,
2023-09-18,,,112.98,114.18,111.34,103.78,7.4,,,,49.06,61.37,5.65,100.94,15.33,124.75,114.85,,49.23732356,40.612973734,,,,42.087711235,43.320923357,35.697302099,,,44.271840695,42.856882201,47.418151069,,12.26,11.72,9.41,7.98,116.0,5.77,15.9,119.68,8.31,,101.09,37.4,9.95,117.5,2.35,,,26.98,,,62.575230357,,,,44.708159548,,,,,,,,,,,,18.157454027,,,,,,,,30.929757285,,34.59686155,,,,,,,,,50.792034437,,,,,,41.13968348,,,30.26,23.27,21.16,,31.62,102.57,63.06,86.86,55.28,107.35,73.19,82.63,63.62,111.25,7.1,51.39,113.92,94.05,96.18,,85.45,9.38,82.2,,,,48.023121894,,29.512558703,,45.11682686,44.1168264,,,,114.65,25.484510483,52.097183275,,,,,39.522150113,38.818025158,,53.806608756,,58.454274789,47.039736518,,40.076999044,36.08521526,,26.652071626,,40.041883443,,35.783912199,43.864987877,,,,,,,47.604290301,,,,,37.771477848,56.593037722,49.893424848,,50.694983109,54.0464384,9.6172687746,44.46,,43.608059342,49.33054815,98.4,99.0,,,,,,,,,45.90111006,31.137818554,34.97754901,49.815200764,41.949078325,,26.092979743,,,42.346169397,,39.661091704,37.009638161,,31.058597379,52.127570368,,,43.499886969,,46.589164542,,,27.218881939,54.81,37.72347287,71.019875189,,,46.856583082,37.692642102,,,33.485109707,50.908210715,,46.977424237,,39.972038723,40.576931187,,,,53.381801392,44.018891062,50.479500369,239.9,42.824650797,51.585480735,,,53.675528033,,19.413819093,51.860260651,34.41,105.45,,,,17.319064316,,35.450777736,,77.213518391,,25.00267484,65.860119083,6.9917450918,47.700318549,,,15.000028632,,,,84.08,,28.86,48.45,45.14,38.73,109.66,120.11,81.45,113.01,51.76,95.29,55.49,77.95,34.06,47.14,14.4,55.33,233.25,48.96,,44.121811371,,,,,,,,,,,,,,,,,20.21,,,,,96.1,205.06,,,,30.959221801,,,,8.07,,5.52,91.08,10.95,17.38,9.59,,5.32,,8.01,6.69,8.11,9.38,11.93,11.53,10.29,9.91,,8.09,9.09,12.29,41.1,,,,,,,,,,,,,,,,,,,,,
2023-09-19,,,112.18,113.25,110.78,103.49,7.43,,,,48.91,60.94,5.56,100.79,15.33,124.7,115.3,,49.178344933,40.810124091,,,,42.597627587,43.021883389,35.619189841,,,44.36839869,42.778551139,,,12.26,11.73,9.57,7.89,115.57,5.89,16.06,119.24,8.32,,100.41,38.18,9.87,117.09,2.55,,,26.69,,,62.340058805,,,,,45.095532179,,,,,,,,,,,17.970871211,,,31.26,,,20.170178794,,31.01966937,25.87,34.5770239,,,,,25.495936709,,24.966563407,22.297693469,51.02523937,97.70156944,,22.99,,,40.949221983,,,31.0,23.18,21.49,,31.5,101.46,63.68,86.97,55.48,107.3,73.15,82.6,63.68,111.29,7.1,51.37,113.71,93.51,96.44,,85.66,9.39,83.48,,,,48.179262912,,29.424868697,,45.234446221,44.302684427,,,,114.1,25.689087975,52.244628133,,,,,39.728660477,38.798459621,,53.866008876,12.384369177,58.246217201,46.83181514,,40.194297577,,,26.552697757,,40.140121626,45.010743687,,43.587298603,,,,,,,,,,,,,56.475502856,,,50.843794214,,9.6272348562,44.52,46.638490244,43.656085839,49.28199446,98.23,98.01,,,,,,,,,46.089107708,31.11816084,35.075088187,,41.83093964,,26.190706259,,,42.602096967,,,,,31.019332402,52.582401217,,,43.549544374,,46.785536153,,,27.432744583,54.84,38.05861739,,,,,,,43.685581449,33.44898769,51.210365517,,47.056677589,,39.823443784,40.756563445,51.190380728,,,53.103045249,43.870312447,,239.8,42.914117338,51.595355444,,55.624002452,53.646324808,,19.4303951,52.034191095,34.5,104.43,,,,17.38448099,,35.480189332,,76.634662281,,25.071879555,65.690915211,6.9519060885,47.200171294,,,15.059869172,,,,84.03,,28.88,48.6,45.36,38.62,109.49,119.5,81.38,111.47,51.52,95.05,55.43,77.8,33.85,47.11,14.64,54.74,233.5,49.02,,,,,,,,,,,,,,,,,,,20.21,,,,,95.9,204.45,,,,31.16386255,,,,8.19,,5.61,90.74,11.99,16.95,9.6,,5.33,,8.05,6.67,8.12,9.43,11.89,11.47,10.31,9.93,,8.09,9.1,12.32,40.85,,,,,,25.654241428,,,,,,,,,,,,,,,
2023-09-20,,,112.88,113.94,111.5,104.43,7.38,,,,49.25,61.4,5.62,101.32,15.25,124.9,115.1,,,40.938271824,,,,,,35.892582745,,,,42.827508053,47.707286136,,12.36,11.75,9.37,8.0,116.4,5.82,16.0,120.1,8.27,,101.16,37.88,10.04,117.93,2.52,,,26.73,,,61.742331111,,,,44.837604108,,,,,,27.688091601,,,,,,17.558424987,,,,,40.261754153,20.219591285,,30.989698675,25.77,34.071163826,,,50.689112331,22.109334558,25.533008227,,25.323653706,,51.258444303,97.463968347,38.776657352,22.96,,,41.063498881,,22.751190037,30.6,22.77,21.18,,31.59,101.94,62.63,87.23,54.39,107.66,72.66,82.7,62.99,111.33,7.25,51.38,113.74,93.59,96.5,,85.61,9.29,82.19,,,,48.101192403,,29.639222045,,45.175636541,44.263556422,,,,115.03,,52.146331561,,,49.259266877,,39.895835533,38.749545779,,53.519508176,,58.464182294,46.88132023,,40.233397089,,,,,,45.247642338,34.859494467,43.736060714,,,,,,,47.604290301,,,,,37.573254401,,49.697572346,,51.091812722,,9.6172687746,44.76,46.338533149,43.656085839,49.466498479,99.28,99.57,,,,,,,,,45.960477738,31.010043414,35.075088187,,,,26.044116485,,,42.808807696,,,,49.341271074,30.950618691,,,44.636239857,43.827625844,,,,,,54.85,37.693901295,,,,,37.387876347,,,,51.522267248,,46.85854421,,,,,,74.682566766,,43.741544314,,238.33,42.715302803,51.437360097,41.557627976,,53.792340934,,19.214907012,52.0535167,34.81,104.7,,,,,,35.568424122,,76.183350737,,25.150970657,65.979557111,6.9618658393,46.945194263,,,14.920241246,,,,83.95,,28.57,48.57,45.03,37.76,109.69,120.37,82.05,113.01,51.9,95.1,56.47,77.83,34.15,46.67,13.83,55.21,231.55,48.0,,,,,,,,,,,,,,,,,,,19.38,,,,,96.53,205.95,42.235278315,,,31.124883359,,,,8.18,,5.69,91.4,11.1,16.74,9.55,,5.28,,8.05,6.67,8.07,9.45,11.98,11.5,10.18,9.98,,8.13,9.03,12.18,41.0,,,48.085812637,,,25.753830874,,,,,,,,,,,,,,,
2023-09-21,,,110.65,111.19,110.2,102.84,7.42,,,,48.46,60.07,5.6,99.03,15.33,124.75,115.4,,49.306131958,40.928414306,,,,,,35.238392581,,,,,48.140988738,,12.24,11.76,9.33,7.77,113.93,5.79,15.95,117.4,8.16,,99.13,37.95,9.81,115.69,2.4,,,26.2,,,61.565952448,48.000558927,,,44.787817739,,,,,,,,,,38.124455188,,16.596050463,,,31.1,,39.852041589,,,30.300372689,25.16,33.505790802,,,,21.844022544,25.440329431,,,21.939017435,50.838675423,96.941245942,38.680912519,,,,40.834945084,,,30.57,22.73,21.21,,30.91,99.85,63.0,88.15,54.4,105.9,71.88,82.12,61.8,111.41,7.01,51.38,112.41,91.39,95.56,,85.98,9.24,81.75,,,,48.891656307,,29.171542013,,45.577502693,44.420068444,,,,112.6,,,,,49.210495326,,39.708992823,38.436497189,,53.331407795,12.200266502,57.790472008,46.742705978,,39.666454175,,,26.314200472,,,45.277254669,,43.33936175,,44.808285685,,,,,,,,,,37.305652747,,49.452756719,,,,9.5275740399,44.96,46.493349714,43.886613025,49.476209217,96.81,96.93,,,,,,,,,45.693323185,30.734835422,,,,,25.760709589,42.955809658,42.85784933,42.552880127,,40.140350272,,,30.685580091,52.513187827,,,43.728311033,,46.93281486,,,27.432744583,54.9,37.595329377,73.104645826,,,,36.81766945,,,,51.541761106,,46.640597492,,,40.517053768,50.807850578,,,52.744644494,43.266092745,,236.55,42.436962454,51.141118822,,,53.87995061,,18.9397453,52.671936055,35.23,102.15,,,,,,35.764501433,,75.938072725,,,64.038689161,6.9120670851,47.278625766,,,14.770639896,,,,83.9,,28.51,48.26,44.88,37.2,109.4,117.86,80.95,109.85,50.81,95.13,55.8,77.76,33.71,46.5,13.65,53.78,230.55,47.48,,,,,,,,,,,,,,,,,,,19.99,,,,,94.59,201.58,,,,30.189382795,,,,8.05,,5.5,89.47,11.06,16.31,9.5,,5.23,,8.0,6.61,8.01,9.44,11.71,11.48,10.1,9.97,,7.93,8.98,12.09,40.0,,,,,,,,,,,,,,,,,,,,,
2023-09-22,45.25,37.2,109.99,110.38,109.74,102.36,7.4,,,,48.08,60.01,5.72,99.08,15.23,124.7,114.8,,49.129196078,40.839696645,,,,,42.902267402,35.082168064,,,,,48.044610382,,12.23,11.77,9.33,7.69,113.8,5.72,15.13,117.33,8.09,,99.12,37.71,9.83,115.33,2.29,,37.4,26.1,,,,,,,,,,,,,,,,,,58.65241538,16.380007202,,27.265422294,,,39.662174791,,,30.300372689,,33.525628451,,,,,,,,,,,,,,44.658770833,42.844313884,,,30.37,22.5,21.25,,30.66,99.28,62.5,88.15,53.74,105.43,72.21,81.69,62.67,111.43,7.07,51.36,112.24,90.64,94.98,,86.24,9.24,81.65,,,,48.794068171,,29.912035397,,,44.488542454,,46.741724908,,112.61,,51.949738417,,,,,39.728660477,38.729980242,,53.242307615,,57.800379512,46.445675438,,39.099511262,,,26.035953639,,40.091002534,45.050226795,,43.33936175,,44.445107904,,,,,,,,,,36.998406404,,49.599646095,,,,9.4877097134,44.98,46.54172989,43.838586528,49.816085041,96.9,96.4,,,42.126610257,,,,,,45.564693215,31.167305124,34.782470655,49.165769466,41.269780882,,26.591384974,42.71935566,,42.365856133,34.571583447,,,49.291929803,31.048781135,,,43.993636182,,,47.129186471,,,27.996564281,54.88,37.575614994,,,,,,,43.447728918,,51.463785673,,46.323584086,,39.664942515,40.197707531,50.268384983,,74.523667688,52.515666234,43.404766119,49.75553111,236.52,42.238147919,51.071995858,42.555318029,,53.724200075,,19.175124596,52.671936055,35.52,101.35,,,,,,35.803716895,,76.291273063,,24.755515144,,6.8722280817,46.729444466,,,,,,,84.03,,28.28,47.84,44.71,37.07,109.5,117.92,80.66,109.43,50.69,94.95,55.59,77.89,33.25,46.48,13.51,53.57,229.82,47.42,,,,,,,,,,,,,,,,,,,19.74,,,,,94.84,201.45,,,,30.423257936,,,,8.06,,5.59,89.36,11.02,16.21,9.48,,5.4,,8.01,6.7,8.0,9.38,11.71,11.5,10.09,10.02,,7.89,8.96,12.12,39.7,,,,,,,,,,,,,,,,,,,,,
2023-09-25,,,109.76,110.16,109.5,102.47,7.49,,,,47.82,59.97,5.83,98.07,15.31,114.5,124.15,,49.443748754,40.77069402,,,,,43.061755384,35.121224193,,,45.044304654,,48.478312983,,12.07,11.76,9.37,7.6,113.74,5.75,15.45,117.3,8.25,,98.36,37.89,9.71,115.3,2.42,,37.36,,,,62.637232711,,,,,,,,,,,,,,,,17.53878469,,,,,,19.764996368,,30.240431299,,33.833112026,,,,,,,24.321817034,22.217987684,,,,,,,44.33943664,,,30.4,23.07,21.38,,31.0,99.28,62.5,88.38,53.39,105.49,72.98,81.93,63.62,111.52,7.28,51.31,114.36,89.84,95.89,,86.16,9.34,82.4,,,,49.164903089,,28.85001199,,,44.586362469,,,,112.57,,51.703996986,,,,47.493634125,39.551651593,39.003897759,,49.519900092,,58.424552277,46.653596816,,39.138610773,,,26.493073436,,,45.326608555,34.760094711,,,,,,,,,,,,,36.81009413,,,,51.339831231,,9.6272348562,45.16,46.83201095,44.222798504,49.670423974,96.41,,,,,,,,,,45.831847768,31.226278265,34.782470655,48.993861181,,,26.327523381,,,42.552880127,,,,49.538636159,,,,,43.172148095,,,,,,55.13,37.733330062,72.298272278,,,,,,,,51.415051028,,46.680224168,,,40.467155918,,,,52.963667178,43.692018109,,239.2,42.427021728,,,,53.870216202,,19.238113422,53.097099362,35.19,101.1,50.588635991,,,,,35.921363281,,77.360685198,,25.032334003,65.034006059,6.9519060885,47.219784912,,,,,,,83.96,,28.43,48.4,45.09,38.0,108.8,117.88,80.65,109.34,50.58,94.93,55.26,77.79,33.27,46.98,13.55,52.99,232.4,48.08,,,,,,,,,,,,,,,,,,,19.74,,,,,94.26,201.94,,,,29.702142918,,,,8.11,,5.53,89.31,10.72,16.15,9.56,,5.36,,8.02,6.71,8.08,9.41,11.7,11.41,10.22,10.04,,7.92,9.04,12.25,38.95,,,,,,,,,,,,,,,,,,,,,
2023-09-26,,,107.94,107.93,108.37,100.65,7.49,10.0,,,47.32,59.06,5.8,97.05,15.3,123.05,113.05,,,40.218673018,,,,42.028874733,,36.615121136,,,44.802909667,43.287703041,48.815637228,,11.95,11.76,9.28,7.53,112.06,5.66,15.5,115.55,8.18,,96.71,37.74,9.62,113.47,2.34,,36.94,,,,62.342052538,,,,,,,,,,,,,,,,16.969216094,,,,,,,,,,33.357008427,,,,,,,23.885373335,,,,,,,,43.187144579,,,30.6,23.04,21.4,,30.46,97.49,63.0,88.71,54.54,104.71,72.18,81.24,63.18,111.58,7.12,51.25,111.72,88.25,94.67,,86.49,9.21,81.54,,,,49.057556139,,28.840268656,,45.920559165,44.674400481,,47.054640221,,110.65,25.728055116,51.851441844,,,,,39.423811844,38.583238716,,53.658108456,,,49.366475748,,45.003537463,,,30.159969197,,40.199064536,44.991002132,34.312795809,,,44.170270665,,,,,,,,,,36.43346958,56.475502856,,,51.191020126,,9.4777436317,44.9,,44.12674551,49.7286884,95.19,96.08,,,,,,,,,45.48553631,30.666033424,34.782470655,48.363530803,,,26.210251562,,,42.090241828,,,,48.995882177,,,,,42.84440922,,,,,27.374418408,55.13,37.319328008,,,,,,,,,,,,,,43.969984951,,,,,,,235.95,,50.232645578,,,56.897617221,,19.019310133,53.222715794,34.92,99.2,,,,,,35.960578743,,76.536551076,,,,6.8722280817,,,,14.960134939,,,,83.55,,28.49,47.76,44.52,37.88,107.18,116.01,79.64,107.82,49.9,94.15,54.75,77.48,32.78,46.55,13.7,52.12,229.97,47.6,,,,,,,,,,,,,48.260702886,,,,,,20.19,,,,,93.04,198.32,,,,29.439033384,,,,8.06,,5.6,88.0,10.99,16.02,9.46,,5.32,,7.95,6.65,7.99,9.33,11.51,11.36,10.12,9.98,,7.84,8.91,12.07,38.53,,,,,,,,,,,,,,,,,,,,,
